,Year,Object_type,Region
0,2010,HHB,A Centrum
1,2010,HHB,B Westpoort
2,2010,HHB,E West
3,2010,HHB,F Nieuw-West
4,2010,HHB,K Zuid
5,2010,HHB,M Oost
6,2010,HHB,T Zuidoost
7,2010,HHB,Amstelveen
8,2010,HHB,Diemen
9,2010,HHB,Heemstede
10,2010,HHB,Muiden
11,2010,HHB,Ouder-Amstel
12,2010,HHB,Schiphol
13,2010,HHO,A Centrum
14,2010,HHO,B Westpoort
15,2010,HHO,E West
16,2010,HHO,F Nieuw-West
17,2010,HHO,K Zuid
18,2010,HHO,M Oost
19,2010,HHO,T Zuidoost
20,2010,HHO,Amstelveen
21,2010,HHO,Diemen
22,2010,HHO,Heemstede
23,2010,HHO,Muiden
24,2010,HHO,Ouder-Amstel
25,2010,HHO,Schiphol
26,2010,GZB,A Centrum
27,2010,GZB,B Westpoort
28,2010,GZB,E West
29,2010,GZB,F Nieuw-West
30,2010,GZB,K Zuid
31,2010,GZB,M Oost
32,2010,GZB,T Zuidoost
33,2010,GZB,Amstelveen
34,2010,GZB,Diemen
35,2010,GZB,Heemstede
36,2010,GZB,Muiden
37,2010,GZB,Ouder-Amstel
38,2010,GZB,Schiphol
39,2010,KZB,A Centrum
40,2010,KZB,B Westpoort
41,2010,KZB,E West
42,2010,KZB,F Nieuw-West
43,2010,KZB,K Zuid
44,2010,KZB,M Oost
45,2010,KZB,T Zuidoost
46,2010,KZB,Amstelveen
47,2010,KZB,Diemen
48,2010,KZB,Heemstede
49,2010,KZB,Muiden
50,2010,KZB,Ouder-Amstel
51,2010,KZB,Schiphol
52,2010,KZO,A Centrum
53,2010,KZO,B Westpoort
54,2010,KZO,E West
55,2010,KZO,F Nieuw-West
56,2010,KZO,K Zuid
57,2010,KZO,M Oost
58,2010,KZO,T Zuidoost
59,2010,KZO,Amstelveen
60,2010,KZO,Diemen
61,2010,KZO,Heemstede
62,2010,KZO,Muiden
63,2010,KZO,Ouder-Amstel
64,2010,KZO,Schiphol
65,2011,HHB,A Centrum
66,2011,HHB,B Westpoort
67,2011,HHB,E West
68,2011,HHB,F Nieuw-West
